Vernier Format 2
ayonisbad.txt 5/7/111 14:43:26
Run 1
Time	Potential	
T	P	
s	V	

0.0	1.400	
0.1	1.397	
0.2	1.397	
0.3	1.394	
0.4	1.394	
0.5	1.391	
0.6	1.397	
0.7	1.394	
0.8	1.394	
0.9	1.394	
1.0	1.394	
1.1	1.397	
1.2	1.388	
1.3	1.394	
1.4	1.394	
1.5	1.391	
1.6	1.391	
1.7	1.394	
1.8	1.394	
1.9	1.391	
2.0	1.391	
2.1	1.394	
2.2	1.397	
2.3	1.391	
2.4	1.391	
2.5	1.397	
2.6	1.391	
2.7	1.378	
2.8	1.363	
2.9	1.348	
3.0	1.339	
3.1	1.324	
3.2	1.309	
3.3	1.284	
3.4	1.284	
3.5	1.275	
3.6	1.266	
3.7	1.251	
3.8	1.236	
3.9	1.223	
4.0	1.214	
4.1	1.202	
4.2	1.190	
4.3	1.178	
4.4	1.169	
4.5	1.151	
4.6	1.138	
4.7	1.123	
4.8	1.120	
4.9	1.105	
5.0	1.090	
5.1	1.084	
5.2	1.074	
5.3	1.044	
5.4	1.053	
5.5	1.041	
5.6	1.035	
5.7	1.023	
5.8	1.008	
5.9	1.005	
6.0	0.992	
6.1	0.983	
6.2	0.974	
6.3	0.965	
6.4	0.956	
6.5	0.944	
6.6	0.938	
6.7	0.926	
6.8	0.920	
6.9	0.901	
7.0	0.901	
7.1	0.892	
7.2	0.886	
7.3	0.877	
7.4	0.865	
7.5	0.862	
7.6	0.853	
7.7	0.843	
7.8	0.831	
7.9	0.825	
8.0	0.807	
8.1	0.813	
8.2	0.804	
8.3	0.795	
8.4	0.789	
8.5	0.780	
8.6	0.768	
8.7	0.758	
8.8	0.755	
8.9	0.743	
9.0	0.740	
9.1	0.731	
9.2	0.725	
9.3	0.719	
9.4	0.710	
9.5	0.707	
9.6	0.698	
9.7	0.682	
9.8	0.682	
9.9	0.679	
10.0	0.673	
10.1	0.664	
10.2	0.661	
10.3	0.652	
10.4	0.646	
10.5	0.637	
10.6	0.619	
10.7	0.628	
10.8	0.619	
10.9	0.612	
11.0	0.606	
11.1	0.600	
11.2	0.594	
11.3	0.594	
11.4	0.585	
11.5	0.582	
11.6	0.576	
11.7	0.570	
11.8	0.561	
11.9	0.558	
12.0	0.552	
12.1	0.549	
12.2	0.543	
12.3	0.540	
12.4	0.533	
12.5	0.530	
12.6	0.524	
12.7	0.518	
12.8	0.515	
12.9	0.509	
13.0	0.503	
13.1	0.500	
13.2	0.482	
13.3	0.488	
13.4	0.485	
13.5	0.479	
13.6	0.476	
13.7	0.473	
13.8	0.463	
13.9	0.458	
14.0	0.458	
14.1	0.455	
14.2	0.451	
14.3	0.445	
14.4	0.439	
14.5	0.430	
14.6	0.412	
14.7	0.427	
14.8	0.424	
14.9	0.424	
15.0	0.415	
15.1	0.412	
15.2	0.409	
15.3	0.406	
15.4	0.403	
15.5	0.394	
15.6	0.385	
15.7	0.391	
15.8	0.366	
15.9	0.357	
16.0	0.372	
16.1	0.369	
16.2	0.366	
16.3	0.363	
16.4	0.357	
16.5	0.351	
16.6	0.354	
16.7	0.348	
16.8	0.345	
16.9	0.342	
17.0	0.333	
17.1	0.336	
17.2	0.333	
17.3	0.330	
17.4	0.327	
17.5	0.327	
17.6	0.318	
17.7	0.318	
17.8	0.315	
17.9	0.312	
18.0	0.306	
18.1	0.306	
18.2	0.303	
18.3	0.296	
18.4	0.293	
18.5	0.293	
18.6	0.287	
18.7	0.287	
18.8	0.287	
18.9	0.281	
19.0	0.281	
19.1	0.278	
19.2	0.275	
19.3	0.272	
19.4	0.272	
19.5	0.269	
19.6	0.263	
19.7	0.260	
19.8	0.260	
19.9	0.260	
20.0	0.254	
20.1	0.233	
20.2	0.248	
20.3	0.245	
20.4	0.245	
20.5	0.245	
20.6	0.242	
20.7	0.239	
20.8	0.236	
20.9	0.233	
21.0	0.229	
21.1	0.229	
21.2	0.229	
21.3	0.226	
21.4	0.205	
21.5	0.214	
21.6	0.220	
21.7	0.217	
21.8	0.214	
21.9	0.211	
22.0	0.208	
22.1	0.202	
22.2	0.205	
22.3	0.208	
22.4	0.205	
22.5	0.199	
22.6	0.199	
22.7	0.199	
22.8	0.196	
22.9	0.175	
23.0	0.193	
23.1	0.190	
23.2	0.172	
23.3	0.184	
23.4	0.184	
23.5	0.184	
23.6	0.184	
23.7	0.181	
23.8	0.181	
23.9	0.166	
24.0	0.175	
24.1	0.175	
24.2	0.172	
24.3	0.169	
24.4	0.169	
24.5	0.166	
24.6	0.163	
24.7	0.163	
24.8	0.163	
24.9	0.160	
25.0	0.163	
25.1	0.154	
25.2	0.154	
25.3	0.154	
25.4	0.154	
25.5	0.150	
25.6	0.144	
25.7	0.147	
25.8	0.147	
25.9	0.141	
26.0	0.144	
26.1	0.144	
26.2	0.141	
26.3	0.138	
26.4	0.138	
26.5	0.138	
26.6	0.135	
26.7	0.132	
26.8	0.135	
26.9	0.135	
27.0	0.129	
27.1	0.132	
27.2	0.129	
27.3	0.126	
27.4	0.120	
27.5	0.123	
27.6	0.126	
27.7	0.123	
27.8	0.123	
27.9	0.123	
28.0	0.111	
28.1	0.120	
28.2	0.099	
28.3	0.117	
28.4	0.099	
28.5	0.114	
28.6	0.114	
28.7	0.111	
28.8	0.108	
28.9	0.108	
29.0	0.111	
29.1	0.111	
29.2	0.108	
29.3	0.105	
29.4	0.102	
29.5	0.102	
29.6	0.102	
29.7	0.102	
29.8	0.099	
29.9	0.081	
30.0	0.096	
30.1	0.096	
30.2	0.099	
30.3	0.099	
30.4	0.096	
30.5	0.093	
30.6	0.096	
30.7	0.090	
30.8	0.090	
30.9	0.093	
31.0	0.090	
31.1	0.090	
31.2	0.087	
31.3	0.090	
31.4	0.087	
31.5	0.068	
31.6	0.087	
31.7	0.084	
31.8	0.075	
31.9	0.084	
32.0	0.081	
32.1	0.065	
32.2	0.078	
32.3	0.081	
32.4	0.081	
32.5	0.081	
32.6	0.078	
32.7	0.075	
32.8	0.078	
32.9	0.075	
33.0	0.078	
33.1	0.075	
33.2	0.072	
33.3	0.078	
33.4	0.075	
33.5	0.059	
33.6	0.072	
33.7	0.072	
33.8	0.068	
33.9	0.053	
34.0	0.065	
34.1	0.068	
34.2	0.065	
34.3	0.065	
34.4	0.065	
34.5	0.065	
34.6	0.065	
34.7	0.062	
34.8	0.065	
34.9	0.062	
35.0	0.062	
35.1	0.062	
35.2	0.053	
35.3	0.059	
35.4	0.059	
35.5	0.062	
35.6	0.059	
35.7	0.053	
35.8	0.059	
35.9	0.062	
36.0	0.059	
36.1	0.053	
36.2	0.053	
36.3	0.053	
36.4	0.053	
36.5	0.050	
36.6	0.053	
36.7	0.053	
36.8	0.053	
36.9	0.041	
37.0	0.053	
37.1	0.050	
37.2	0.050	
37.3	0.050	
37.4	0.050	
37.5	0.050	
37.6	0.050	
37.7	0.050	
37.8	0.044	
37.9	0.041	
38.0	0.047	
38.1	0.044	
38.2	0.050	
38.3	0.035	
38.4	0.044	
38.5	0.044	
38.6	0.044	
38.7	0.044	
38.8	0.044	
38.9	0.044	
39.0	0.041	
39.1	0.041	
39.2	0.044	
39.3	0.035	
39.4	0.044	
39.5	0.038	
39.6	0.044	
39.7	0.041	
39.8	0.041	
39.9	0.041	
40.0	0.038	
40.1	0.038	
40.2	0.038	
40.3	0.041	
40.4	0.035	
40.5	0.038	
40.6	0.038	
40.7	0.038	
40.8	0.038	
40.9	0.035	
41.0	0.038	
41.1	0.035	
41.2	0.032	
41.3	0.035	
41.4	0.038	
41.5	0.035	
41.6	0.035	
41.7	0.032	
41.8	0.032	
41.9	0.032	
42.0	0.035	
42.1	0.032	
42.2	0.035	
42.3	0.032	
42.4	0.032	
42.5	0.029	
42.6	0.029	
42.7	0.032	
42.8	0.029	
42.9	0.029	
43.0	0.029	
43.1	0.032	
43.2	0.032	
43.3	0.029	
43.4	0.029	
43.5	0.026	
43.6	0.029	
43.7	0.029	
43.8	0.026	
43.9	0.026	
44.0	0.026	
44.1	0.026	
44.2	0.026	
44.3	0.026	
44.4	0.029	
44.5	0.026	
44.6	0.029	
44.7	0.026	
44.8	0.026	
44.9	0.026	
45.0	0.023	
45.1	0.026	
45.2	0.026	
45.3	0.020	
45.4	0.017	
45.5	0.023	
45.6	0.023	
45.7	0.026	
45.8	0.026	
45.9	0.026	
46.0	0.023	
46.1	0.023	
46.2	0.020	
46.3	0.023	
46.4	0.020	
