Vernier Format 2
ayonissuperbad.txt 5/7/111 15:0:34
Run 1
Time	Potential	
T	P	
s	V	

0.0	1.415	
0.1	1.415	
0.2	1.415	
0.3	1.415	
0.4	1.412	
0.5	1.412	
0.6	1.412	
0.7	1.412	
0.8	1.406	
0.9	1.415	
1.0	1.412	
1.1	1.415	
1.2	1.403	
1.3	1.412	
1.4	1.415	
1.5	1.412	
1.6	1.412	
1.7	1.415	
1.8	1.412	
1.9	1.412	
2.0	1.415	
2.1	1.415	
2.2	1.397	
2.3	1.412	
2.4	1.412	
2.5	1.415	
2.6	1.415	
2.7	1.412	
2.8	1.406	
2.9	1.412	
3.0	1.412	
3.1	1.406	
3.2	1.412	
3.3	1.415	
3.4	1.412	
3.5	1.415	
3.6	1.418	
3.7	1.415	
3.8	1.412	
3.9	1.415	
4.0	1.415	
4.1	1.412	
4.2	1.415	
4.3	1.406	
4.4	1.415	
4.5	1.415	
4.6	1.415	
4.7	1.412	
4.8	1.412	
4.9	1.412	
5.0	1.415	
5.1	1.418	
5.2	1.415	
5.3	1.412	
5.4	1.415	
5.5	1.415	
5.6	1.409	
5.7	1.412	
5.8	1.415	
5.9	1.412	
6.0	1.412	
6.1	1.415	
6.2	1.412	
6.3	1.415	
6.4	1.415	
6.5	1.412	
6.6	1.412	
6.7	1.415	
6.8	1.412	
6.9	1.412	
7.0	1.400	
7.1	1.412	
7.2	1.412	
7.3	1.415	
7.4	1.412	
7.5	1.412	
7.6	1.412	
7.7	1.412	
7.8	1.412	
7.9	1.412	
8.0	1.412	
8.1	1.412	
8.2	1.412	
8.3	1.406	
8.4	1.412	
8.5	1.412	
8.6	1.412	
8.7	1.406	
8.8	1.412	
8.9	1.412	
9.0	1.412	
9.1	1.412	
9.2	1.412	
9.3	1.406	
9.4	1.412	
9.5	1.406	
9.6	1.394	
9.7	1.412	
9.8	1.406	
9.9	1.412	
10.0	1.412	
10.1	1.412	
10.2	1.412	
10.3	1.412	
10.4	1.409	
10.5	1.412	
10.6	1.409	
10.7	1.391	
10.8	1.406	
10.9	1.412	
11.0	1.412	
11.1	1.412	
11.2	1.412	
11.3	1.409	
11.4	1.412	
11.5	1.400	
11.6	1.406	
11.7	1.406	
11.8	1.412	
11.9	1.412	
12.0	1.412	
12.1	1.406	
12.2	1.406	
12.3	1.412	
12.4	1.412	
12.5	1.403	
12.6	1.412	
12.7	1.412	
12.8	1.412	
12.9	1.412	
13.0	1.412	
13.1	1.412	
13.2	1.412	
13.3	1.409	
13.4	1.397	
13.5	1.412	
13.6	1.412	
13.7	1.412	
13.8	1.409	
13.9	1.412	
14.0	1.394	
14.1	1.412	
14.2	1.394	
14.3	1.412	
14.4	1.412	
14.5	1.406	
14.6	1.412	
14.7	1.400	
14.8	1.412	
14.9	1.400	
15.0	1.409	
15.1	1.403	
15.2	1.409	
15.3	1.394	
15.4	1.409	
15.5	1.412	
15.6	1.403	
15.7	1.412	
15.8	1.409	
15.9	1.412	
16.0	1.409	
16.1	1.409	
16.2	1.412	
16.3	1.409	
16.4	1.409	
16.5	1.409	
16.6	1.409	
16.7	1.412	
16.8	1.409	
16.9	1.412	
17.0	1.403	
17.1	1.406	
17.2	1.412	
17.3	1.412	
17.4	1.409	
17.5	1.412	
17.6	1.409	
17.7	1.406	
17.8	1.406	
17.9	1.412	
18.0	1.409	
18.1	1.409	
18.2	1.406	
18.3	1.412	
18.4	1.403	
18.5	1.409	
18.6	1.412	
18.7	1.412	
18.8	1.412	
18.9	1.400	
19.0	1.409	
19.1	1.409	
19.2	1.412	
19.3	1.412	
19.4	1.406	
19.5	1.403	
19.6	1.403	
19.7	1.409	
19.8	1.409	
19.9	1.409	
20.0	1.409	
20.1	1.391	
20.2	1.409	
20.3	1.406	
20.4	1.409	
20.5	1.409	
20.6	1.409	
20.7	1.406	
20.8	1.406	
20.9	1.406	
21.0	1.412	
21.1	1.406	
21.2	1.409	
21.3	1.412	
21.4	1.409	
21.5	1.412	
21.6	1.406	
21.7	1.397	
21.8	1.406	
21.9	1.409	
22.0	1.406	
22.1	1.409	
22.2	1.409	
22.3	1.406	
22.4	1.409	
22.5	1.409	
22.6	1.406	
22.7	1.400	
22.8	1.406	
22.9	1.388	
23.0	1.412	
23.1	1.409	
23.2	1.406	
23.3	1.406	
23.4	1.406	
23.5	1.406	
23.6	1.406	
23.7	1.409	
23.8	1.406	
23.9	1.409	
24.0	1.409	
24.1	1.406	
24.2	1.406	
24.3	1.403	
24.4	1.406	
24.5	1.406	
24.6	1.406	
24.7	1.409	
24.8	1.403	
24.9	1.406	
25.0	1.391	
25.1	1.406	
25.2	1.403	
25.3	1.403	
25.4	1.397	
25.5	1.406	
25.6	1.406	
25.7	1.406	
25.8	1.406	
25.9	1.406	
26.0	1.409	
26.1	1.406	
26.2	1.406	
26.3	1.406	
26.4	1.406	
26.5	1.406	
26.6	1.403	
26.7	1.406	
26.8	1.409	
26.9	1.400	
27.0	1.406	
27.1	1.406	
27.2	1.409	
27.3	1.406	
27.4	1.406	
27.5	1.391	
27.6	1.403	
27.7	1.406	
27.8	1.388	
27.9	1.406	
28.0	1.406	
28.1	1.406	
28.2	1.406	
28.3	1.403	
28.4	1.406	
28.5	1.406	
28.6	1.406	
28.7	1.406	
28.8	1.406	
28.9	1.406	
29.0	1.406	
29.1	1.409	
29.2	1.406	
29.3	1.403	
29.4	1.397	
29.5	1.406	
29.6	1.406	
29.7	1.406	
29.8	1.409	
29.9	1.403	
30.0	1.400	
30.1	1.403	
30.2	1.406	
30.3	1.406	
30.4	1.406	
30.5	1.406	
30.6	1.403	
30.7	1.406	
30.8	1.400	
30.9	1.403	
31.0	1.406	
31.1	1.403	
31.2	1.403	
31.3	1.406	
31.4	1.403	
31.5	1.406	
31.6	1.403	
31.7	1.403	
31.8	1.403	
31.9	1.403	
32.0	1.406	
32.1	1.406	
32.2	1.406	
32.3	1.400	
32.4	1.406	
32.5	1.391	
32.6	1.406	
32.7	1.400	
32.8	1.406	
32.9	1.403	
33.0	1.403	
33.1	1.406	
33.2	1.403	
33.3	1.403	
33.4	1.385	
33.5	1.403	
33.6	1.406	
33.7	1.385	
33.8	1.400	
33.9	1.406	
34.0	1.400	
34.1	1.403	
34.2	1.400	
34.3	1.403	
34.4	1.403	
34.5	1.403	
34.6	1.403	
34.7	1.403	
34.8	1.400	
34.9	1.403	
35.0	1.403	
35.1	1.403	
35.2	1.400	
35.3	1.403	
35.4	1.385	
35.5	1.403	
35.6	1.400	
35.7	1.403	
35.8	1.403	
35.9	1.403	
36.0	1.400	
36.1	1.403	
36.2	1.403	
36.3	1.400	
36.4	1.400	
36.5	1.403	
36.6	1.403	
36.7	1.400	
36.8	1.394	
36.9	1.403	
37.0	1.400	
37.1	1.403	
37.2	1.400	
37.3	1.400	
37.4	1.403	
37.5	1.403	
37.6	1.388	
37.7	1.403	
37.8	1.400	
37.9	1.381	
38.0	1.400	
38.1	1.403	
38.2	1.388	
38.3	1.403	
38.4	1.394	
38.5	1.400	
38.6	1.400	
38.7	1.403	
38.8	1.403	
38.9	1.400	
39.0	1.400	
39.1	1.400	
39.2	1.403	
39.3	1.403	
39.4	1.403	
39.5	1.381	
39.6	1.400	
39.7	1.394	
39.8	1.400	
39.9	1.381	
40.0	1.400	
40.1	1.403	
40.2	1.400	
40.3	1.400	
40.4	1.403	
40.5	1.400	
40.6	1.400	
40.7	1.403	
40.8	1.403	
40.9	1.403	
41.0	1.400	
41.1	1.403	
41.2	1.388	
41.3	1.400	
41.4	1.400	
41.5	1.397	
41.6	1.400	
41.7	1.394	
41.8	1.400	
41.9	1.400	
42.0	1.403	
42.1	1.400	
42.2	1.403	
42.3	1.400	
42.4	1.403	
42.5	1.403	
42.6	1.400	
42.7	1.400	
42.8	1.400	
42.9	1.400	
43.0	1.400	
43.1	1.400	
43.2	1.400	
43.3	1.400	
43.4	1.400	
43.5	1.397	
43.6	1.400	
43.7	1.400	
43.8	1.403	
43.9	1.400	
44.0	1.400	
44.1	1.400	
44.2	1.400	
44.3	1.385	
44.4	1.400	
44.5	1.400	
44.6	1.400	
44.7	1.397	
44.8	1.400	
44.9	1.400	
45.0	1.397	
45.1	1.400	
45.2	1.400	
45.3	1.400	
45.4	1.400	
45.5	1.400	
45.6	1.400	
45.7	1.381	
45.8	1.397	
45.9	1.400	
46.0	1.400	
46.1	1.391	
46.2	1.400	
46.3	1.400	
46.4	1.400	
